0.005,578.1
0.01,402.6
0.015,480.0
0.02,433.8
0.025,389.8
0.03,367.0
0.035,370.8
0.04,394.5
0.045,487.2
0.05,426.6
0.055,351.2
0.06,400.1
0.065,383.7
0.07,337.2
0.075,341.7
0.08,413.3
0.085,363.3
0.09,371.0
0.095,343.8
0.1,383.7
0.105,367.5
0.11,359.1
0.115,392.1
0.12,365.6
0.125,364.4
0.13,384.4
0.135,410.7
0.14,562.5
0.145,601.6
0.15,384.2
0.155,375.5
0.16,683.2
0.165,392.5
0.17,395.8
0.175,417.6
0.18,414.2
0.185,658.8
0.19,486.6
0.195,561.9
0.2,549.8
0.205,558.0
0.21,385.2
0.215,478.1
0.22,367.7
0.225,359.9
0.23,430.2
0.235,428.6
0.24,388.2
0.245,388.8
0.25,389.8
