0.005,399.8
0.01,227.8
0.015,226.2
0.02,221.6
0.025,213.9
0.03,192.5
0.035,201.5
0.04,193.3
0.045,201.0
0.05,196.2
0.055,193.6
0.06,194.8
0.065,196.2
0.07,253.4
0.075,269.0
0.08,203.5
0.085,199.5
0.09,194.6
0.095,199.4
0.1,256.1
0.105,263.1
0.11,263.9
0.115,215.0
0.12,288.1
0.125,296.9
0.13,244.2
0.135,265.3
0.14,378.4
0.145,263.3
0.15,472.1
0.155,321.6
0.16,255.4
0.165,268.1
0.17,391.9
0.175,322.3
0.18,225.5
0.185,212.4
0.19,266.3
0.195,259.9
0.2,244.5
0.205,240.6
0.21,234.9
0.215,332.1
0.22,348.9
0.225,248.5
0.23,303.6
0.235,264.6
0.24,207.3
0.245,249.6
0.25,367.9
