0.005,473.5
0.01,262.4
0.015,243.4
0.02,245.0
0.025,248.1
0.03,244.2
0.035,241.1
0.04,240.7
0.045,231.5
0.05,240.3
0.055,247.0
0.06,236.8
0.065,238.9
0.07,243.2
0.075,238.7
0.08,255.8
0.085,274.2
0.09,240.6
0.095,231.6
0.1,231.9
0.105,236.2
0.11,255.9
0.115,252.3
0.12,230.3
0.125,235.5
0.13,237.6
0.135,238.3
0.14,259.1
0.145,267.4
0.15,238.6
0.155,271.3
0.16,245.3
0.165,253.8
0.17,251.5
0.175,249.5
0.18,239.7
0.185,239.4
0.19,243.0
0.195,240.2
0.2,279.2
0.205,324.8
0.21,350.3
0.215,268.8
0.22,309.3
0.225,256.7
0.23,248.4
0.235,226.6
0.24,227.5
0.245,251.8
0.25,255.8
