0.005,330.7
0.01,206.1
0.015,222.5
0.02,218.7
0.025,213.6
0.03,198.5
0.035,209.5
0.04,184.4
0.045,174.6
0.05,173.4
0.055,174.3
0.06,175.0
0.065,220.9
0.07,177.1
0.075,188.1
0.08,190.7
0.085,204.7
0.09,179.7
0.095,187.9
0.1,191.6
0.105,179.4
0.11,170.3
0.115,203.8
0.12,199.9
0.125,174.1
0.13,208.0
0.135,300.7
0.14,194.5
0.145,188.5
0.15,195.7
0.155,257.7
0.16,209.2
0.165,183.5
0.17,195.4
0.175,205.9
0.18,194.3
0.185,218.4
0.19,217.4
0.195,211.2
0.2,185.4
0.205,179.0
0.21,175.5
0.215,181.0
0.22,177.3
0.225,189.9
0.23,195.2
0.235,185.0
0.24,215.9
0.245,209.8
0.25,197.8
