0.005,366.6
0.01,239.7
0.015,211.3
0.02,199.6
0.025,207.7
0.03,202.5
0.035,213.5
0.04,211.2
0.045,207.8
0.05,301.8
0.055,312.6
0.06,276.2
0.065,249.0
0.07,243.6
0.075,324.0
0.08,274.8
0.085,265.7
0.09,246.4
0.095,265.0
0.1,294.9
0.105,307.8
0.11,319.2
0.115,261.3
0.12,242.0
0.125,229.5
0.13,244.2
0.135,286.9
0.14,347.9
0.145,271.1
0.15,310.9
0.155,335.9
0.16,285.7
0.165,323.0
0.17,307.0
0.175,326.3
0.18,320.3
0.185,339.4
0.19,308.8
0.195,327.1
0.2,358.1
0.205,303.2
0.21,256.3
0.215,242.1
0.22,232.5
0.225,270.5
0.23,258.3
0.235,235.5
0.24,268.3
0.245,231.3
0.25,256.4
